parking,name,owner,address,postCode,email,telephone,type,capacity,latitude,longitude,shape
https://velopark.ilabt.imec.be/data/Mobiliteit-en-parkeren-Antwerpen_MPA_Havana,Fietspaviljoen Havana,Mobiliteit en parkeren Antwerpen,Noorderlaan 500,2030,info@slimnaarantwerpen.be,03 22 11 333,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,440,51.262815326550395,4.418647999342262,"POLYGON ((4.418108204780488 51.2629540229548, 4.419015126701176 51.26287639760247, 4.418991657372295 51.26276310631113, 4.4186429702003585 51.262790380166024, 4.4186429702003585 51.26284702581299, 4.418096470113575 51.262894230465434, 4.418108204780488 51.2629540229548))"
https://velopark.ilabt.imec.be/data/Parking.Brussels_GP01,GP01 - Bourse,Parking.Brussels,Station de Metro Bourse - Grand Place,1000,cycloparking@cyclo.org,02 414 03 00,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,628,50.84801999999999,4.34918,"POLYGON ((4.349279198795557 50.848141968961784, 4.348898325115441 50.847799883209944, 4.349188003689051 50.84769149908206, 4.349525962024927 50.84804374657688, 4.349279198795557 50.848141968961784))"
https://velopark.ilabt.imec.be/data/Ville-de-Namur_Namur---Hôtel-de-Ville,Namur - Parking Hotel de Ville,Ville de Namur,Rue des Dames Blanches,5000,mobilite@ville.namur.be,081 24 64 79,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,90,50.46710408089109,4.866745801228972,"POLYGON ((4.866757487599231 50.467014817346524, 4.866757487599231 50.467014817346524, 4.866757487599231 50.467014817346524, 4.866722428488452 50.46633045790682, 4.865600536943505 50.46636021287105, 4.865635596054284 50.46690323767888, 4.8666055647858535 50.46688836036998, 4.866663996637154 50.467133835368486, 4.866839292191051 50.46714127398491, 4.866757487599231 50.467014817346524))"
https://velopark.ilabt.imec.be/data/Stad-Brugge_Markt-,Fietsenparking Markt,Stad Brugge,Sint-Amandsstraat,8000,,,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,220,51.20855035249693,3.2229794003069396,
https://velopark.ilabt.imec.be/data/Stad-Brugge_'t-Zand,Fietsenparking Zand ,Stad Brugge,'t Zand ,8000,,,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,665,51.20566002466825,3.2175857294350863,
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Draaiboomstraat,Fietsentrommel Draaiboomstraat,Mobiliteit en Parkeren Antwerpen,Draaiboomstraat,2660,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,51.176115350058154,4.3588879820890725,"POLYGON ((4.3588785943575195 51.17612964326187, 4.358889323193579 51.176146458790015, 4.358924191910773 51.176138891803106, 4.358908098656683 51.17611114617387, 4.358871584990993 51.17611871316535, 4.3588785943575195 51.17612964326187))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Spillemansstraat,Fietsentrommel Spillemansstraat,Mobiliteit en Parkeren Antwerpen,Spillemansstraat,2140,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,51.2027493484664,4.447389176348224,"POLYGON ((4.4473838119301945 51.20274472686543, 4.447397222975269 51.20275481035782, 4.4474273978266865 51.20274094555515, 4.447414657333866 51.20272960162265, 4.4473838119301945 51.202744726865404))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Boekveldsplein,Fietsentrommel Boekveldsplein,Mobiliteit en Parkeren Antwerpen,Boeksveldplein,2610,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,51.1638144058183,4.390099873999133,"POLYGON ((4.390085121849552 51.16381861082368, 4.390105908969416 51.16384299984736, 4.390134742716326 51.16383458984066, 4.390113285044208 51.163809359811324, 4.390085121849552 51.16381861082368))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Ijskelderstraat,Fietsentrommel Ijskelderstraat,Mobiliteit en Parkeren Antwerpen,Ijskelderstraat,2660,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,51.18151492297579,4.352488598087802,"POLYGON ((4.35249195084907 51.18152585179308, 4.352530842879787 51.18151996704563, 4.35252413735725 51.181501892459494, 4.352487256983294 51.18150651619152, 4.35249195084907 51.18152585179308))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Vaderlandstraat,Fietsentrommel Vaderlandstraat,Mobiliteit en Parkeren Antwerpen,Vaderlandstraat,2610,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,51.17245782582958,4.404789966065437,"POLYGON ((4.404747050721197 51.1724712793239, 4.404784601647406 51.17248641450027, 4.404810082633048 51.17246539342062, 4.4047685083933175 51.17245025823735, 4.404747050721197 51.1724712793239))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Frans-Nagelsplein,Fietsentrommel Frans Nagelsplein,Mobiliteit en Parkeren Antwerpen,Frans Nagelsplein,2610,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,51.17397720502976,4.391639095265417,"POLYGON ((4.391601544339209 51.173962070342725, 4.391593497712164 51.17399906623564, 4.3916337308473885 51.17400327031248, 4.391641777474432 51.17396375197481, 4.391601544339209 51.173962070342725))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Groot_Hagelkruis,Fietsentrommel Groot Hagelkruis,Mobiliteit en Parkeren Antwerpen,Groot Hagelkruis,2180,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,5,51.275118784699714,4.411682509817183,"POLYGON ((4.411661052145064 51.27513388616043, 4.41174688283354 51.275174156698085, 4.411792480386794 51.275143953798135, 4.411706649698317 51.27510871705647, 4.411661052145064 51.27513388616043))"
https://velopark.ilabt.imec.be/data/De-Krook_De-Krook,De Krook,De Krook,Miriam Makebaplein 1,9000,fietsendepot.defietsambassade@stad.gent,092667068,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,700,51.04884071768643,3.7289220560342073,"POLYGON ((3.728936933912337 51.04883903149505, 3.728631162084639 51.048877813881234, 3.728657984174788 51.04909027333352, 3.729036175645888 51.04905823585949, 3.728936933912337 51.04883903149499))"
https://velopark.ilabt.imec.be/data/De-Fietsambassade-Gent_Vooruit,Vooruit,De Fietsambassade Gent,Sint Pietersnieuwstraat 116,9000,fietsendepot.defietsambassade@stad.gent,09667068,https://velopark.ilabt.imec.be/openvelopark/terms#PublicBicycleParking,400,51.04745970638476,3.727316879667341,"POLYGON ((3.7273176130838688 51.04747572567743, 3.7273109075613315 51.04740490349957, 3.727510732132941 51.04739900164654, 3.727512073237449 51.04746729447146, 3.7273176130838688 51.0474757256774))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Terlopplein,Fietsentrommel Terlopplein,Mobiliteit en Parkeren Antwerpen,Terlopplein,2140,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,51.21913504946386,4.444457521894946,"POLYGON ((4.4444776384625575 51.21915856923647, 4.444446793058886 51.21915058931498, 4.444466909626498 51.21912202958458, 4.444497755030169 51.21913000951105, 4.4444776384625575 51.21915856923641))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Reuzenstraat,Fietsentrommel Reuzenstraat,Mobiliteit en Parkeren Antwerpen,Reuzenstraat,2140,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#BicycleLocker,10,51.21576949812845,4.441077267983928,"POLYGON ((4.441053128102794 51.215764877833976, 4.441042399266735 51.215786719222024, 4.44109202013351 51.21579385967357, 4.441101407865062 51.215773698395765, 4.441053128102794 51.215764877833976))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Zwijgerstraat,Buurtstalling Zwijgerstraat,Mobiliteit en Parkeren Antwerpen,Zwijgerstraat,2018,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#ResidentBicycleParking,90,51.209877826001275,4.396935116965323,"POLYGON ((4.3968801316805175 51.209835817932344, 4.396959256846457 51.20989378905739, 4.397125553805381 51.20981061307262, 4.397079956252128 51.209769445105394, 4.397136282641441 51.20973499841065, 4.397128236014396 51.209716514807695, 4.3968801316805175 51.209835817932344))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Wolfstraat,Buurtstalling Wolfstraat,Mobiliteit en Parkeren Antwerpen,Wolfstraat 1,2018,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#ResidentBicycleParking,153,51.207973981833874,4.432338934857398,"POLYGON ((4.4322826084680855 51.20789332297329, 4.432355028111487 51.20792609065242, 4.432329547125845 51.208003388674996, 4.432234328705817 51.20799414652694, 4.432173979002982 51.20793197202832, 4.4322826084680855 51.207893322973206))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Vliegenstraat,Buurtstalling Vliegenstraat,Mobiliteit en Parkeren Antwerpen,Vliegenstraat 21,2060,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#ResidentBicycleParking,20,51.225492930518186,4.42096002981998,"POLYGON ((4.4208939489908525 51.22548033237533, 4.421037447173148 51.22550552865766, 4.420963686425239 51.22567434339345, 4.420817506033927 51.22565334656946, 4.4208939489908525 51.225480332374985))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Frans_van_Hombeeckplein,Buurtstalling Frans van Hombeeckplein,Mobiliteit en Parkeren Antwerpen,Frans van Hombeeckplein,2600,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#ResidentBicycleParking,70,51.195021383874405,4.41748681012541,"POLYGON ((4.417494856752454 51.19501970301036, 4.417178356088697 51.19512391646569, 4.416934275068342 51.19484993542517, 4.417229318059981 51.19475580659349, 4.417494856752454 51.19501970301033))"
https://velopark.ilabt.imec.be/data/Mobiliteit-en-Parkeren-Antwerpen_MPA_Stalinstraat,Buurtstalling Stalinstraat,Mobiliteit en Parkeren Antwerpen,Stalinstraat 31,2100,buurtparkeren@antwerpen.be,03 338 21 85,https://velopark.ilabt.imec.be/openvelopark/terms#ResidentBicycleParking,18,51.219822577857656,4.457305973628535,"POLYGON ((4.457305973628535 51.219822577857656, 4.457295915344729 51.21983181763173, 4.457350230077281 51.219849877184856, 4.457401862600817 51.21979317856409, 4.457338160136715 51.219778898900444, 4.457305973628535 51.219822577857656))"
